date,Power BI,Tableau,Cognos
2019-01-01,31,41,5
2019-02-01,37,44,6
2019-03-01,33,41,5
2019-04-01,33,40,5
2019-05-01,36,43,5
2019-06-01,32,51,4
2019-07-01,41,47,5
2019-08-01,38,42,5
2019-09-01,41,43,5
2019-10-01,43,43,5
2019-11-01,41,43,5
2019-12-01,33,33,3
2020-01-01,44,41,5
2020-02-01,46,42,5
2020-03-01,44,41,4
2020-04-01,45,37,4
2020-05-01,42,36,4
2020-06-01,45,37,4
2020-07-01,51,40,4
2020-08-01,48,37,5
2020-09-01,51,40,4
2020-10-01,49,36,4
2020-11-01,54,31,4
2020-12-01,39,25,3
2021-01-01,46,28,4
2021-02-01,62,36,4
2021-03-01,61,35,4
2021-04-01,54,33,3
2021-05-01,50,28,3
2021-06-01,57,37,3
2021-07-01,57,35,3
2021-08-01,53,33,4
2021-09-01,60,35,3
2021-10-01,60,33,3
2021-11-01,62,36,4
2021-12-01,55,33,3
2022-01-01,64,42,3
2022-02-01,72,40,3
2022-03-01,73,38,3
2022-04-01,65,37,3
2022-05-01,64,42,3
2022-06-01,64,40,3
2022-07-01,64,40,3
2022-08-01,64,37,3
2022-09-01,67,37,3
2022-10-01,57,35,3
2022-11-01,72,41,3
2022-12-01,53,33,2
2023-01-01,68,38,3
2023-02-01,75,40,3
2023-03-01,77,44,3
2023-04-01,65,32,2
2023-05-01,62,38,3
2023-06-01,64,37,3
2023-07-01,71,37,3
2023-08-01,74,34,2
2023-09-01,71,33,2
2023-10-01,71,34,2
2023-11-01,77,37,3
2023-12-01,57,27,2
2024-01-01,85,37,2
2024-02-01,100,40,3
2024-03-01,92,34,3
2024-04-01,96,37,2
2024-05-01,79,36,3
2024-06-01,79,39,2
2024-07-01,82,42,3
2024-08-01,78,41,2
2024-09-01,73,34,3
2024-10-01,73,33,2
2024-11-01,67,33,3
2024-12-01,54,27,3
