date,Power BI,Tableau,Cognos
2019-01-01,22,61,3
2019-02-01,29,65,2
2019-03-01,30,66,3
2019-04-01,26,64,3
2019-05-01,30,80,3
2019-06-01,32,78,3
2019-07-01,29,67,2
2019-08-01,19,61,2
2019-09-01,29,64,2
2019-10-01,36,57,3
2019-11-01,30,48,2
2019-12-01,28,40,2
2020-01-01,30,56,1
2020-02-01,40,57,2
2020-03-01,34,37,2
2020-04-01,37,33,2
2020-05-01,39,35,1
2020-06-01,39,41,1
2020-07-01,40,44,1
2020-08-01,22,48,1
2020-09-01,37,58,2
2020-10-01,39,36,1
2020-11-01,38,24,1
2020-12-01,30,23,1
2021-01-01,47,31,2
2021-02-01,46,35,2
2021-03-01,55,38,1
2021-04-01,46,37,2
2021-05-01,45,48,1
2021-06-01,41,66,1
2021-07-01,42,77,1
2021-08-01,26,71,1
2021-09-01,46,57,1
2021-10-01,49,41,2
2021-11-01,51,42,2
2021-12-01,44,33,2
2022-01-01,51,48,1
2022-02-01,64,58,2
2022-03-01,72,71,2
2022-04-01,60,70,2
2022-05-01,69,83,1
2022-06-01,64,73,2
2022-07-01,61,63,1
2022-08-01,37,58,1
2022-09-01,59,62,1
2022-10-01,61,51,2
2022-11-01,68,50,2
2022-12-01,54,39,1
2023-01-01,61,52,1
2023-02-01,71,53,2
2023-03-01,76,61,2
2023-04-01,59,64,1
2023-05-01,69,72,1
2023-06-01,67,66,2
2023-07-01,66,64,2
2023-08-01,48,57,1
2023-09-01,66,60,1
2023-10-01,73,52,2
2023-11-01,71,47,1
2023-12-01,55,36,1
2024-01-01,71,54,2
2024-02-01,100,55,2
2024-03-01,91,57,2
2024-04-01,80,63,2
2024-05-01,87,73,2
2024-06-01,80,63,2
2024-07-01,80,69,1
2024-08-01,48,87,1
2024-09-01,73,57,1
2024-10-01,84,49,1
2024-11-01,78,50,2
2024-12-01,61,39,1
