date,Power BI,Tableau,Cognos
2019-01-01,27,19,1
2019-02-01,31,21,2
2019-03-01,36,21,2
2019-04-01,34,20,2
2019-05-01,37,24,1
2019-06-01,38,26,1
2019-07-01,35,24,2
2019-08-01,25,21,2
2019-09-01,35,19,2
2019-10-01,45,23,2
2019-11-01,46,23,1
2019-12-01,32,18,1
2020-01-01,39,18,1
2020-02-01,48,21,1
2020-03-01,45,21,1
2020-04-01,47,21,1
2020-05-01,48,19,1
2020-06-01,47,17,1
2020-07-01,45,18,1
2020-08-01,30,16,1
2020-09-01,46,17,1
2020-10-01,47,16,1
2020-11-01,47,15,1
2020-12-01,34,12,1
2021-01-01,40,14,1
2021-02-01,57,15,1
2021-03-01,55,14,1
2021-04-01,50,16,1
2021-05-01,57,17,1
2021-06-01,54,19,1
2021-07-01,46,20,1
2021-08-01,30,27,1
2021-09-01,53,16,1
2021-10-01,52,17,1
2021-11-01,61,20,1
2021-12-01,49,17,1
2022-01-01,64,19,1
2022-02-01,79,26,1
2022-03-01,78,24,1
2022-04-01,62,23,1
2022-05-01,74,27,1
2022-06-01,75,23,1
2022-07-01,70,24,1
2022-08-01,53,22,1
2022-09-01,72,23,1
2022-10-01,70,24,1
2022-11-01,77,27,1
2022-12-01,61,23,1
2023-01-01,73,23,1
2023-02-01,85,25,1
2023-03-01,88,26,1
2023-04-01,74,23,1
2023-05-01,73,26,1
2023-06-01,80,24,1
2023-07-01,71,23,1
2023-08-01,58,24,1
2023-09-01,71,23,1
2023-10-01,77,24,1
2023-11-01,78,24,1
2023-12-01,59,17,1
2024-01-01,86,23,1
2024-02-01,97,26,1
2024-03-01,82,24,1
2024-04-01,100,27,1
2024-05-01,81,26,1
2024-06-01,83,25,1
2024-07-01,74,36,1
2024-08-01,55,60,1
2024-09-01,78,26,1
2024-10-01,83,24,1
2024-11-01,84,26,1
2024-12-01,63,20,1
