Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-01-02,100.0,100.0,100.0
2019-01-03,96.32119727103125,96.20064906240925,98.00363326808204
2019-01-04,100.80099152241584,101.77794361975785,101.83142998737331
2019-01-07,100.92957637150141,104.9206693298537,102.55184591497752
2019-01-08,101.66136574916504,107.50273584381804,104.01006347126824
2019-01-09,103.11508488633035,107.7019354796218,104.75651618025843
2019-01-10,102.45252176006478,108.4765565693694,105.7113095517116
2019-01-11,101.66136574916504,108.85282380984123,105.42489567419067
2019-01-14,100.91967657559631,107.746210897476,104.49612980184848
2019-01-15,103.84689033509122,110.06268168222968,105.6592359889396
2019-01-16,104.21276493505147,109.58315812615167,105.5637399436993
2019-01-17,104.94459449045823,110.52745433607825,106.05852233050821
2019-01-18,106.51698260970673,112.5119673649631,107.47329883978061
2019-01-22,104.50946953245402,109.88562543314451,106.34492692575415
2019-01-23,105.52805567606647,110.4758205004837,115.3458747388548
2019-01-24,105.02371250221279,108.35113415587875,115.03340551539785
2019-01-25,105.98294808368638,110.46845072716043,116.28332882060064
2019-01-28,103.91610855094066,108.69049575181964,116.54368735218557
2019-01-29,101.79984235860708,107.10434792779348,116.59577019723257
2019-01-30,105.20172401088624,110.04056100667697,116.6391741151509
2019-01-31,103.2733369809367,112.11360216010439,116.67389910594055
2019-02-01,101.64159829954936,114.99075485215542,116.39613630872327
2019-02-04,104.56881205904425,116.35555965365927,117.34223218849775
2019-02-05,106.03242295656601,117.29250880142845,117.65469212967969
2019-02-06,104.85556864724994,116.65804967181796,118.32307162361191
2019-02-07,104.10401985551923,114.29728075804422,116.9532213253585
2019-02-08,104.4995697365489,115.58094991949459,117.4098349973513
2019-02-11,104.08423633480628,117.97122063772727,117.65571317993013
2019-02-12,105.70606718473992,120.09587291558339,119.46459652131894
2019-02-13,105.62694113743673,118.33269155363793,120.75539896563896
2019-02-14,105.71595090954777,117.64660994401584,119.84214377482833
2019-02-15,107.02135792575491,117.33676150811681,121.20322232320306
2019-02-19,106.97189912397252,118.48762712717038,121.79152363067647
2019-02-20,106.41569451929782,116.96050562322789,121.17686066219193
2019-02-21,108.6602562809665,117.76463987301733,121.03635486545761
2019-02-22,110.20955023346886,119.00404497219643,122.27447111685538
2019-02-25,110.82530628899802,119.04093926114444,122.45889135663326
2019-02-26,111.5900173093753,120.25080848911584,122.68717034580465
2019-02-27,111.40132655658019,120.33934796924135,122.20422285962573
2019-02-28,111.26229549428305,120.73033204519386,121.29098623336512
2019-03-01,111.75883615042257,121.37954207703379,122.23058452063687
