date,Power BI,Tableau,Cognos
2019-01-01,33,33,3
2019-02-01,39,34,3
2019-03-01,39,33,3
2019-04-01,37,31,3
2019-05-01,40,32,3
2019-06-01,42,38,3
2019-07-01,45,35,3
2019-08-01,41,31,3
2019-09-01,46,33,3
2019-10-01,48,34,3
2019-11-01,49,33,3
2019-12-01,34,27,2
2020-01-01,50,31,3
2020-02-01,56,33,3
2020-03-01,45,28,2
2020-04-01,45,29,2
2020-05-01,44,28,2
2020-06-01,47,30,2
2020-07-01,52,30,2
2020-08-01,44,28,2
2020-09-01,51,31,2
2020-10-01,50,28,2
2020-11-01,45,27,2
2020-12-01,35,24,1
2021-01-01,40,25,2
2021-02-01,54,30,2
2021-03-01,59,31,2
2021-04-01,52,26,2
2021-05-01,51,26,2
2021-06-01,58,28,2
2021-07-01,52,26,1
2021-08-01,42,25,1
2021-09-01,56,27,2
2021-10-01,55,27,1
2021-11-01,60,28,2
2021-12-01,40,25,2
2022-01-01,66,32,2
2022-02-01,75,29,2
2022-03-01,75,30,2
2022-04-01,60,30,1
2022-05-01,70,33,2
2022-06-01,67,30,1
2022-07-01,65,29,2
2022-08-01,72,30,1
2022-09-01,72,32,1
2022-10-01,73,32,1
2022-11-01,75,32,1
2022-12-01,55,26,1
2023-01-01,70,31,1
2023-02-01,87,34,1
2023-03-01,89,33,1
2023-04-01,68,28,1
2023-05-01,73,28,1
2023-06-01,80,28,1
2023-07-01,81,30,1
2023-08-01,80,31,1
2023-09-01,81,32,1
2023-10-01,88,30,1
2023-11-01,87,31,1
2023-12-01,60,24,1
2024-01-01,89,31,1
2024-02-01,100,35,2
2024-03-01,91,32,2
2024-04-01,91,31,2
2024-05-01,92,31,2
2024-06-01,84,29,2
2024-07-01,87,30,2
2024-08-01,77,32,1
2024-09-01,81,27,2
2024-10-01,88,31,2
2024-11-01,81,27,1
2024-12-01,60,23,1
